Crash ID,Record Type,Vehicle ID,Participant ID,Participant Display Seq#,Vehicle Coded Seq#,Participant Vehicle Seq#
1841151,3,3467693,3950692,1,1,1
1841151,3,3467694,3950693,2,2,1
1841157,3,3467704,3950704,1,1,1
1841157,3,0,3950705,2,,1
1841212,3,3467816,3950834,1,1,1
1841212,3,3467817,3950835,2,2,1
1841212,3,3467817,3950836,3,2,2
1841331,3,3468044,3951100,1,1,1
1841331,3,3468045,3951101,2,2,1
1841331,3,3468045,3951102,3,2,2
1841336,3,3468055,3951113,1,1,1
1841336,3,3468056,3951114,2,2,1
1841343,3,3468068,3951128,1,1,1
1841343,3,3468068,3951129,2,1,2
1841343,3,3468068,3951130,3,1,3
1841343,3,3468068,3951131,4,1,4
1841343,3,3468069,3951132,5,2,1
1841343,3,3468069,3951133,6,2,2
1841361,3,3468101,3951176,1,1,1
1841361,3,3468102,3951177,2,2,1
1841369,3,3468115,3951190,1,1,1
1841369,3,3468115,3951191,2,1,2
1841369,3,3468116,3951192,3,2,1
1841369,3,3468116,3951193,4,2,2
1841369,3,3468117,3951194,5,3,1
1841376,3,3468129,3951212,1,1,1
1841376,3,3468130,3951213,2,2,1
1841436,3,3468243,3951356,1,1,1
1841436,3,3468244,3951357,2,2,1
1841498,3,3468366,3951495,1,1,1
1841498,3,3468367,3951496,2,2,1
1841506,3,3468382,3951514,1,1,1
1841641,3,3468639,3951820,1,1,1
1841641,3,3468640,3951821,2,2,1
1841641,3,3468640,3951822,3,2,2
1841685,3,3468714,3951912,1,1,1
1841685,3,3468715,3951913,2,2,1
1841685,3,3468715,3951914,3,2,2
1841691,3,3468724,3951924,1,1,1
1841691,3,3468725,3951925,2,2,1
1841693,3,3468728,3951928,1,1,1
1841693,3,3468729,3951929,2,2,1
1841693,3,3468729,3951930,3,2,2
1841708,3,3468753,3951962,1,1,1
1841708,3,3468754,3951963,2,2,1
1841725,3,3468786,3951997,1,1,1
1841725,3,3468786,3951998,2,1,2
1841725,3,3468787,3951999,3,2,1
1841766,3,3468870,3952092,1,1,1
1841766,3,3468871,3952093,2,2,1
